Step	KE	PE	Total	Temp(K)	DeltaE(%)
0	3.44141	-0.123088	3.31832	1.66174e+21	-2.06228
100	2.81476	-0.123049	2.69171	1.35915e+21	-20.5562
200	2.30221	-0.123025	2.17919	1.11166e+21	-35.683
300	1.88299	-0.123013	1.75998	9.09232e+20	-48.0555
400	1.54011	-0.123009	1.4171	7.43665e+20	-58.1754
500	1.25966	-0.123012	1.13665	6.08246e+20	-66.4527
600	1.03028	-0.12302	0.907259	4.97485e+20	-73.2229
700	0.842665	-0.123031	0.719634	4.06893e+20	-78.7606
800	0.689213	-0.123044	0.566169	3.32797e+20	-83.29
900	0.563704	-0.123059	0.440645	2.72193e+20	-86.9947
